participant_id,trial,category,name1,name2,name3
204,1,spice,Ground--xxmf--ginger,Cilantro--xxmf--leaves--xxmf--,Caraway--xxmf--seeds--xxmf--
206,1,bottle,Snapple,Nestle,Dasani
207,1,cereal,Rice--xxmf--chex,Honeycombs,Cookie--xxmf--Crisp
208,1,spice,Ginger,Cloves,Nutmeg
210,1,bottle,Water,Blue--xxmf--moon,Sierra--xxmf--nevada
211,1,spice,Curry,Cumin,Mrs--xxmf--Dash
212,1,cereal,Lucky--xxmf--Charms,Pops,Frosted--xxmf--Flakes
213,1,spice,Cinnamon,Red--xxmf--pepper,Ginger--xxmf--
215,1,cereal,Chex,Cheerios,Oatmeal
216,1,drink,Red--xxmf--bull,Coffee,Water
221,1,bottle,7up,Frooti,Mirinda
222,1,spice,Paprika,Nutmeg,Onion--xxmf--powder
223,1,spice,Ground--xxmf--Ginger,Ground--xxmf--Allspice,Cream--xxmf--of--xxmf--Tartar
225,1,bottle,Erojal--xxmf--water--xxmf--bottle,Oil--xxmf--bottle,Aalaya--xxmf--bottle
227,1,drink,Gatorade,Yogurt,Juice
228,1,bottle,Tea,Alcohol,Yogurt
229,1,bottle,Spirit,Guava--xxmf--aloevera,Cloud--xxmf--9
249,1,bottle,Diet--xxmf--Coke,Dasani,Oral--xxmf--solution
252,1,spice,Celery--xxmf--seed,Fennel--xxmf--seed,Sesame--xxmf--seed
254,1,cereal,Rice--xxmf--Chex,Rice--xxmf--Krispies,Honey--xxmf--Nut--xxmf--Cheerios
256,1,snack,Matchmakers,Patato--xxmf--Chips,Walkers
258,1,bottle,Drinking--xxmf--water--xxmf--bottle,Aquafina--xxmf--water--xxmf--bottle,Distilled--xxmf--water--xxmf--bottle
259,1,drink,Coca-Cola--xxmf--no--xxmf--sugar,Pepsi--xxmf--Max--xxmf--Vanilla,V--xxmf--Energy
